Fund Code,Fund Name,Asset Code,Asset Name,IssuerId,Shares Outstanding,SOD Position,Transactions,EOD Position,EOD Percentage of Holdings
AX003,ABC Soverign Wealth Fund,AAAU,Perth Mint Physical Gold ETF,191176,21150900,580454,7189,587643,2.78%
AX003,ABC Soverign Wealth Fund,AADR,Advisorshares Dorsey Wright ADR,190299,13657329,740770,34522,775292,5.68%
AX003,ABC Soverign Wealth Fund,AAMC,Altisource Asset,259939,6379610,718825,62145,780970,12.24%
AX003,ABC Soverign Wealth Fund,AAU,Almaden Minerals,417842,15472303,313416,19289,332705,2.15%
AX003,ABC Soverign Wealth Fund,ACES,Alps Clean Energy ETF,325984,14882213,345030,29245,374275,2.51%
AX003,ABC Soverign Wealth Fund,ACIM,ACWI IMI MSCI ETF SPDR,379181,28144402,223964,-8093,215871,0.77%
AX003,ABC Soverign Wealth Fund,ACIO,Aptus Collared Income Opportunity ETF,192058,29120162,213183,50942,264125,0.91%
AX003,ABC Soverign Wealth Fund,ACSG,Xtrackers MSCI ACWI Ex USA ESG Leaders,300197,9101072,672424,56898,729322,8.01%
AX003,ABC Soverign Wealth Fund,ACSI,American Customer Satisfaction Core,152153,20704995,782449,64821,847270,4.09%
AX003,ABC Soverign Wealth Fund,ACU,Acme United Corp,205776,13071018,780412,-8791,771621,5.90%
AX003,ABC Soverign Wealth Fund,ACWF,Global Multifactor Ishares Edge MSCI ETF,449423,23333380,425483,5521,431004,1.85%
AX003,ABC Soverign Wealth Fund,ACWV,Global Min Vol Ishares Edge MSCI ETF,435537,20610747,84977,29,85006,0.41%
AX003,ABC Soverign Wealth Fund,ACY,Aerocentury Corp,320237,18665084,627703,21746,649449,3.48%
AX003,ABC Soverign Wealth Fund,AE,Adams Resources & Energy,317647,16875502,293875,52977,346852,2.06%
AX003,ABC Soverign Wealth Fund,AEF,Aberdeen EM Equity Income Fund Inc,179710,24315663,683348,8569,691917,2.85%
AX003,ABC Soverign Wealth Fund,AFIF,Anfield Universal Fixed Income ETF,393815,18798521,757782,23861,781643,4.16%
AX003,ABC Soverign Wealth Fund,AFK,Africa Index ETF Vaneck,355109,2869124,175606,28750,204356,7.12%
AX003,ABC Soverign Wealth Fund,AFTY,CSOP FTSE China A50 ETF,205065,26030948,437945,15535,453480,1.74%
AX003,ABC Soverign Wealth Fund,AGE,Agex Therapeutics Inc,457705,11015510,291520,46958,338478,3.07%
AX003,ABC Soverign Wealth Fund,AGG,US Aggregate Bond Ishares Core ETF,377992,3188350,493696,34217,527913,16.56%
AX003,ABC Soverign Wealth Fund,AGGE,IQ Enhanced Core Bond U.S. ETF,276307,4860567,81306,86938,168244,3.46%
AX003,ABC Soverign Wealth Fund,AGGP,IQ Enhanced Core Plus Bond U.S.,158489,26566289,335505,49076,384581,1.45%
AX003,ABC Soverign Wealth Fund,AGGY,Wisdomtree Yield Enhcd US Agg Bond Fund,242824,8411862,844558,41896,886454,10.54%
AX003,ABC Soverign Wealth Fund,AGQ,Ultra Silver Proshares,434243,5728329,281606,73542,355148,6.20%
AX003,ABC Soverign Wealth Fund,AGT,Argentina Ishares MSCI ETF,170417,24700862,452744,88834,541578,2.19%
AX003,ABC Soverign Wealth Fund,AGZ,Agency Bond Ishares ETF,333619,28719687,897809,45935,943744,3.29%
AX003,ABC Soverign Wealth Fund,AIEQ,Ai Powered Equity ETF,181760,10279456,36598,89967,126565,1.23%
AX003,ABC Soverign Wealth Fund,AIIQ,Ai Powered International Equity ETF,105700,24208399,185029,51144,236173,0.98%
AX003,ABC Soverign Wealth Fund,AINC,Ashford Inc,387397,26095820,896190,33284,929474,3.56%
WS202,XYZ Insurance Fund,AIRI,Air Industries Group Inc,399968,26322951,781495,44421,825916,3.14%
WS202,XYZ Insurance Fund,AKG,Asanko Gold Inc,489328,19420844,611336,23746,635082,3.27%
WS202,XYZ Insurance Fund,ALFA,Alphaclone Alternative Alpha ETF,258172,27188616,222880,44435,267315,0.98%
WS202,XYZ Insurance Fund,ALO,Alio Gold Corp,269159,10642837,274835,8392,283227,2.66%
WS202,XYZ Insurance Fund,ALTS,Mstar Alternative Solutions Proshares,233184,17841401,852008,5132,857140,4.80%
WS202,XYZ Insurance Fund,AMBO,Ambow Education Holding Ltd,145354,22314607,368661,31735,400396,1.79%
WS202,XYZ Insurance Fund,AMJ,Alerian MLP Index ETN JP Morgan,316509,29935052,252762,68207,320969,1.07%
WS202,XYZ Insurance Fund,AMJL,X-Links Mthy Pay 2X Leveraged Alerian,150244,3610070,298155,59395,357550,9.90%
WS202,XYZ Insurance Fund,AMLP,Alps Alerian MLP ETF,153286,1270470,305645,88096,393741,30.99%
WS202,XYZ Insurance Fund,AMOM,Qraft Ai-Enhanced U.S. Large Cap,430953,569073,277254,25684,302938,53.23%
WS202,XYZ Insurance Fund,AMPE,Ampio Pharmaceuticals,450084,1705883,578108,50096,628204,36.83%
WS202,XYZ Insurance Fund,AMS,American Shared Hospital Services,417056,24131521,105703,8739,114442,0.47%
WS202,XYZ Insurance Fund,AMU,Etracs Alerian MLP Index ETN,213001,4685241,333699,78007,411706,8.79%
WS202,XYZ Insurance Fund,AMUB,Etracs Alerian MLP ETN Series B,462746,7521273,287280,89607,376887,5.01%
WS202,XYZ Insurance Fund,AMZA,Infracap MLP ETF,446334,12143849,765555,59529,825084,6.79%
WS202,XYZ Insurance Fund,ANGL,Fallen Angel HY Bond ETF Vaneck,375984,6822481,240240,30933,271173,3.97%
WS202,XYZ Insurance Fund,AOA,Aggressive Allocation Ishares Core ETF,324885,26475221,884629,84360,968989,3.66%
WS202,XYZ Insurance Fund,AOIL,Aberdeen Standard Bloomberg WTI Crude,270982,14549075,191609,-5075,186534,1.28%
WS202,XYZ Insurance Fund,AOK,Conservative Allocation Ishares Core ETF,285791,8173002,663775,67582,731357,8.95%
WS202,XYZ Insurance Fund,AOM,Moderate Allocation Ishares Core ETF,204081,24708209,522560,79013,601573,2.43%
WS202,XYZ Insurance Fund,AOR,Growth Allocation Ishares Core ETF,293422,27848155,821437,52355,873792,3.14%
SC101,Harvee School Fund,APT,Alpha Pro Tech,398611,14312317,695833,88784,784617,5.48%
SC101,Harvee School Fund,ARCM,Arrow Reserve Capital Management ETF,353293,18398713,632836,43768,676604,3.68%
SC101,Harvee School Fund,ARGT,G-X FTSE Argentina 20 ETF,225749,18894981,533714,35027,568741,3.01%
SC101,Harvee School Fund,ARKF,Ark Fintech Innovation ETF,398198,24170405,244019,81998,326017,1.35%
SC101,Harvee School Fund,ARKG,Ark Genomic Revolution Multi-Sector ETF,371561,8852626,303422,-414,303008,3.42%
SC101,Harvee School Fund,ARKK,Ark Innovation ETF,255860,29494971,573854,11830,585684,1.99%
SC101,Harvee School Fund,ARKQ,Ark Industrial Innovation ETF,301072,19516734,120941,-6681,114260,0.59%
SC101,Harvee School Fund,ARKW,Ark Web X.0 ETF,172441,11679856,894727,76326,971053,8.31%
SC101,Harvee School Fund,ARMP,Armata Pharmaceuticals Inc,339011,21185761,805120,56855,861975,4.07%
SC101,Harvee School Fund,ARN.P,Arconic Inc Pf 3.75,378549,8297362,367057,31012,398069,4.80%
SC101,Harvee School Fund,ASEA,G-X FTSE Asean 40 ETF,448156,13976077,603623,62354,665977,4.77%
SC101,Harvee School Fund,ASHR,Db-Xt Harvest CSI 300 China A,317805,8760840,141966,79634,221600,2.53%
SC101,Harvee School Fund,ASHS,Db-Xt Harvest CSI 500 China A,352585,8704216,847243,6591,853834,9.81%
SC101,Harvee School Fund,ASHX,Db-Xt CSI 300 China A Hgd Eq,248579,3334550,309484,47854,357338,10.72%
SC101,Harvee School Fund,ASM,Avino Silver & Gold,284852,15132228,473719,40738,514457,3.40%
SC101,Harvee School Fund,ATMP,Barclays Plus Select MLP ETN,254220,12262853,850694,25330,876024,7.14%
