Fund Code,Fund Name,Asset Code,Asset Name,IssuerId,Shares Outstanding,SOD Position,Transactions,EOD Position,EOD Percentage of Holdings
AX003,ABC Soverign Wealth Fund,AAAU,Perth Mint Physical Gold ETF,191176,21150900,847954,63546,911500,4.31%
AX003,ABC Soverign Wealth Fund,AADR,Advisorshares Dorsey Wright ADR,190299,13657329,502152,30261,532413,3.90%
AX003,ABC Soverign Wealth Fund,AAMC,Altisource Asset,259939,6379610,677985,52915,730900,11.46%
AX003,ABC Soverign Wealth Fund,AAU,Almaden Minerals,417842,15472303,701325,8754,710079,4.59%
AX003,ABC Soverign Wealth Fund,ACES,Alps Clean Energy ETF,325984,14882213,259855,32373,292228,1.96%
AX003,ABC Soverign Wealth Fund,ACIM,ACWI IMI MSCI ETF SPDR,379181,28144402,888132,73765,961897,3.42%
AX003,ABC Soverign Wealth Fund,ACIO,Aptus Collared Income Opportunity ETF,192058,29120162,109976,74782,184758,0.63%
AX003,ABC Soverign Wealth Fund,ACSG,Xtrackers MSCI ACWI Ex USA ESG Leaders,300197,9101072,653840,36179,690019,7.58%
AX003,ABC Soverign Wealth Fund,ACSI,American Customer Satisfaction Core,152153,20704995,194893,76438,271331,1.31%
AX003,ABC Soverign Wealth Fund,ACU,Acme United Corp,205776,13071018,695691,39876,735567,5.63%
AX003,ABC Soverign Wealth Fund,ACWF,Global Multifactor Ishares Edge MSCI ETF,449423,23333380,884095,35193,919288,3.94%
AX003,ABC Soverign Wealth Fund,ACWV,Global Min Vol Ishares Edge MSCI ETF,435537,20610747,124695,2911,127606,0.62%
AX003,ABC Soverign Wealth Fund,ACY,Aerocentury Corp,320237,18665084,108271,56246,164517,0.88%
AX003,ABC Soverign Wealth Fund,AE,Adams Resources & Energy,317647,16875502,613748,12462,626210,3.71%
AX003,ABC Soverign Wealth Fund,AEF,Aberdeen EM Equity Income Fund Inc,179710,24315663,166233,15445,181678,0.75%
AX003,ABC Soverign Wealth Fund,AFIF,Anfield Universal Fixed Income ETF,393815,18798521,550040,49914,599954,3.19%
AX003,ABC Soverign Wealth Fund,AFK,Africa Index ETF Vaneck,355109,2869124,851300,47026,898326,31.31%
AX003,ABC Soverign Wealth Fund,AFTY,CSOP FTSE China A50 ETF,205065,26030948,256974,63701,320675,1.23%
AX003,ABC Soverign Wealth Fund,AGE,Agex Therapeutics Inc,457705,11015510,189997,84535,274532,2.49%
AX003,ABC Soverign Wealth Fund,AGG,US Aggregate Bond Ishares Core ETF,377992,3188350,12146,71797,83943,2.63%
AX003,ABC Soverign Wealth Fund,AGGE,IQ Enhanced Core Bond U.S. ETF,276307,4860567,702931,77387,780318,16.05%
AX003,ABC Soverign Wealth Fund,AGGP,IQ Enhanced Core Plus Bond U.S.,158489,26566289,797150,37427,834577,3.14%
AX003,ABC Soverign Wealth Fund,AGGY,Wisdomtree Yield Enhcd US Agg Bond Fund,242824,8411862,611693,27867,639560,7.60%
AX003,ABC Soverign Wealth Fund,AGQ,Ultra Silver Proshares,434243,5728329,472977,46857,519834,9.07%
AX003,ABC Soverign Wealth Fund,AGT,Argentina Ishares MSCI ETF,170417,24700862,203375,67159,270534,1.10%
AX003,ABC Soverign Wealth Fund,AGZ,Agency Bond Ishares ETF,333619,28719687,526338,62495,588833,2.05%
AX003,ABC Soverign Wealth Fund,AIEQ,Ai Powered Equity ETF,181760,10279456,628404,16159,644563,6.27%
AX003,ABC Soverign Wealth Fund,AIIQ,Ai Powered International Equity ETF,105700,24208399,596239,25360,621599,2.57%
AX003,ABC Soverign Wealth Fund,AINC,Ashford Inc,387397,26095820,702010,84978,786988,3.02%
WS202,XYZ Insurance Fund,AIRI,Air Industries Group Inc,399968,26322951,321853,26995,348848,1.33%
WS202,XYZ Insurance Fund,AKG,Asanko Gold Inc,489328,19420844,304506,84039,388545,2.00%
WS202,XYZ Insurance Fund,ALFA,Alphaclone Alternative Alpha ETF,258172,27188616,405112,33514,438626,1.61%
WS202,XYZ Insurance Fund,ALO,Alio Gold Corp,269159,10642837,621746,51306,673052,6.32%
WS202,XYZ Insurance Fund,ALTS,Mstar Alternative Solutions Proshares,233184,17841401,845319,-5847,839472,4.71%
WS202,XYZ Insurance Fund,AMBO,Ambow Education Holding Ltd,145354,22314607,676194,29905,706099,3.16%
WS202,XYZ Insurance Fund,AMJ,Alerian MLP Index ETN JP Morgan,316509,29935052,557382,22305,579687,1.94%
WS202,XYZ Insurance Fund,AMJL,X-Links Mthy Pay 2X Leveraged Alerian,150244,3610070,149340,7683,157023,4.35%
WS202,XYZ Insurance Fund,AMLP,Alps Alerian MLP ETF,153286,1270470,650149,5318,655467,51.59%
WS202,XYZ Insurance Fund,AMOM,Qraft Ai-Enhanced U.S. Large Cap,430953,569073,62234,52799,115033,20.21%
WS202,XYZ Insurance Fund,AMPE,Ampio Pharmaceuticals,450084,1705883,463467,15264,478731,28.06%
WS202,XYZ Insurance Fund,AMS,American Shared Hospital Services,417056,24131521,453480,-6798,446682,1.85%
WS202,XYZ Insurance Fund,AMU,Etracs Alerian MLP Index ETN,213001,4685241,73697,33099,106796,2.28%
WS202,XYZ Insurance Fund,AMUB,Etracs Alerian MLP ETN Series B,462746,7521273,142364,28968,171332,2.28%
WS202,XYZ Insurance Fund,AMZA,Infracap MLP ETF,446334,12143849,721440,-4671,716769,5.90%
WS202,XYZ Insurance Fund,ANGL,Fallen Angel HY Bond ETF Vaneck,375984,6822481,558201,87704,645905,9.47%
WS202,XYZ Insurance Fund,AOA,Aggressive Allocation Ishares Core ETF,324885,26475221,494922,82807,577729,2.18%
WS202,XYZ Insurance Fund,AOIL,Aberdeen Standard Bloomberg WTI Crude,270982,14549075,393740,30641,424381,2.92%
WS202,XYZ Insurance Fund,AOK,Conservative Allocation Ishares Core ETF,285791,8173002,163452,43269,206721,2.53%
WS202,XYZ Insurance Fund,AOM,Moderate Allocation Ishares Core ETF,204081,24708209,152009,60978,212987,0.86%
WS202,XYZ Insurance Fund,AOR,Growth Allocation Ishares Core ETF,293422,27848155,278963,35066,314029,1.13%
SC101,Harvee School Fund,APT,Alpha Pro Tech,398611,14312317,194140,15710,209850,1.47%
SC101,Harvee School Fund,ARCM,Arrow Reserve Capital Management ETF,353293,18398713,42621,61390,104011,0.57%
SC101,Harvee School Fund,ARGT,G-X FTSE Argentina 20 ETF,225749,18894981,483739,76356,560095,2.96%
SC101,Harvee School Fund,ARKF,Ark Fintech Innovation ETF,398198,24170405,642569,28387,670956,2.78%
SC101,Harvee School Fund,ARKG,Ark Genomic Revolution Multi-Sector ETF,371561,8852626,621853,-3497,618356,6.99%
SC101,Harvee School Fund,ARKK,Ark Innovation ETF,255860,29494971,706622,57952,764574,2.59%
SC101,Harvee School Fund,ARKQ,Ark Industrial Innovation ETF,301072,19516734,481715,63429,545144,2.79%
SC101,Harvee School Fund,ARKW,Ark Web X.0 ETF,172441,11679856,762613,39281,801894,6.87%
SC101,Harvee School Fund,ARMP,Armata Pharmaceuticals Inc,339011,21185761,627419,86754,714173,3.37%
SC101,Harvee School Fund,ARN.P,Arconic Inc Pf 3.75,378549,8297362,721433,80082,801515,9.66%
SC101,Harvee School Fund,ASEA,G-X FTSE Asean 40 ETF,448156,13976077,651748,38013,689761,4.94%
SC101,Harvee School Fund,ASHR,Db-Xt Harvest CSI 300 China A,317805,8760840,102199,37808,140007,1.60%
SC101,Harvee School Fund,ASHS,Db-Xt Harvest CSI 500 China A,352585,8704216,418331,39414,457745,5.26%
SC101,Harvee School Fund,ASHX,Db-Xt CSI 300 China A Hgd Eq,248579,3334550,379923,88854,468777,14.06%
SC101,Harvee School Fund,ASM,Avino Silver & Gold,284852,15132228,448967,-1795,447172,2.96%
SC101,Harvee School Fund,ATMP,Barclays Plus Select MLP ETN,254220,12262853,657801,51615,709416,5.79%
SC101,Harvee School Fund,ATNM,Actinium Pharmaceuticals Inc,196179,14895548,627750,44092,671842,4.51%
WD202,Emerging Market Fund,AUG,Auryn Resources Inc,314712,7426893,239572,6149,245721,3.31%
WD202,Emerging Market Fund,AUMN,Golden Minerals CO,338042,24375054,859252,14775,874027,3.59%
WD202,Emerging Market Fund,AUSF,Global X Adaptive US Factor ETF,269906,13569418,361218,45842,407060,3.00%
WD202,Emerging Market Fund,AWTM,Aware Ultra-Short Duration Enhanced,442960,22629602,139534,1520,141054,0.62%
WD202,Emerging Market Fund,AWX,Avalon Holdings Corp,322428,4537393,204800,66576,271376,5.98%
WD202,Emerging Market Fund,AXJL,Asia Pacific Ex-Japan Wisdomtree,145822,12561663,338193,28557,366750,2.92%
WD202,Emerging Market Fund,AXJV,Asia Ex Japan Min Vol Ishares Edge MSCI,378352,16883873,592110,17249,609359,3.61%
WD202,Emerging Market Fund,AXU,Alexco Resource Corp,250817,25962954,361371,50175,411546,1.59%
QS909,US Equity Fund,AAAU,Perth Mint Physical Gold ETF,191176,21150900,767599,53062,820661,3.88%
QS909,US Equity Fund,AADR,Advisorshares Dorsey Wright ADR,190299,13657329,357691,7178,364869,2.67%
QS909,US Equity Fund,AAMC,Altisource Asset,259939,6379610,380684,7664,388348,6.09%
QS909,US Equity Fund,AAU,Almaden Minerals,417842,15472303,101709,70478,172187,1.11%
QS909,US Equity Fund,ACES,Alps Clean Energy ETF,325984,14882213,878721,80376,959097,6.44%
QS909,US Equity Fund,ACIM,ACWI IMI MSCI ETF SPDR,379181,28144402,528210,20554,548764,1.95%
QS909,US Equity Fund,ACIO,Aptus Collared Income Opportunity ETF,192058,29120162,738231,39794,778025,2.67%
QS909,US Equity Fund,ACSG,Xtrackers MSCI ACWI Ex USA ESG Leaders,300197,9101072,153614,55990,209604,2.30%
QS909,US Equity Fund,ACSI,American Customer Satisfaction Core,152153,20704995,81363,10666,92029,0.44%
QS909,US Equity Fund,ACU,Acme United Corp,205776,13071018,15146,64905,80051,0.61%
QS909,US Equity Fund,ACWF,Global Multifactor Ishares Edge MSCI ETF,449423,23333380,813921,27930,841851,3.61%
QS909,US Equity Fund,ACWV,Global Min Vol Ishares Edge MSCI ETF,435537,20610747,687412,84261,771673,3.74%
QS909,US Equity Fund,ACY,Aerocentury Corp,320237,18665084,536926,55189,592115,3.17%
QS909,US Equity Fund,AE,Adams Resources & Energy,317647,16875502,179742,52969,232711,1.38%
QS909,US Equity Fund,AEF,Aberdeen EM Equity Income Fund Inc,179710,24315663,803804,14288,818092,3.36%
QS909,US Equity Fund,AFIF,Anfield Universal Fixed Income ETF,393815,18798521,56264,30972,87236,0.46%
IS504,IXIX Insurance Fund,AIRI,Air Industries Group Inc,399968,26322951,30947,19992,50939,0.19%
IS504,IXIX Insurance Fund,AKG,Asanko Gold Inc,489328,19420844,567543,82323,649866,3.35%
