Fund Code,Fund Name,Asset Code,Asset Name,IssuerId,Shares Outstanding,SOD Position,Transactions,EOD Position,EOD Percentage of Holdings
AX003,ABC Soverign Wealth Fund,AAAU,Perth Mint Physical Gold ETF,191176,21150900,538543,61605,600148,2.84%
AX003,ABC Soverign Wealth Fund,AADR,Advisorshares Dorsey Wright ADR,190299,13657329,12682,88425,101107,0.74%
AX003,ABC Soverign Wealth Fund,AAMC,Altisource Asset,259939,6379610,42183,9661,51844,0.81%
AX003,ABC Soverign Wealth Fund,AAU,Almaden Minerals,417842,15472303,446839,63248,510087,3.30%
AX003,ABC Soverign Wealth Fund,ACES,Alps Clean Energy ETF,325984,14882213,211426,28510,239936,1.61%
AX003,ABC Soverign Wealth Fund,ACIM,ACWI IMI MSCI ETF SPDR,379181,28144402,206857,30426,237283,0.84%
AX003,ABC Soverign Wealth Fund,ACIO,Aptus Collared Income Opportunity ETF,192058,29120162,516515,27598,544113,1.87%
AX003,ABC Soverign Wealth Fund,ACSG,Xtrackers MSCI ACWI Ex USA ESG Leaders,300197,9101072,597202,60558,657760,7.23%
AX003,ABC Soverign Wealth Fund,ACSI,American Customer Satisfaction Core,152153,20704995,558909,18087,576996,2.79%
AX003,ABC Soverign Wealth Fund,ACU,Acme United Corp,205776,13071018,347582,63702,411284,3.15%
AX003,ABC Soverign Wealth Fund,ACWF,Global Multifactor Ishares Edge MSCI ETF,449423,23333380,798001,53323,851324,3.65%
AX003,ABC Soverign Wealth Fund,ACWV,Global Min Vol Ishares Edge MSCI ETF,435537,20610747,551683,46707,598390,2.90%
AX003,ABC Soverign Wealth Fund,ACY,Aerocentury Corp,320237,18665084,538231,89299,627530,3.36%
AX003,ABC Soverign Wealth Fund,AE,Adams Resources & Energy,317647,16875502,269014,34340,303354,1.80%
AX003,ABC Soverign Wealth Fund,AEF,Aberdeen EM Equity Income Fund Inc,179710,24315663,52998,31697,84695,0.35%
AX003,ABC Soverign Wealth Fund,AFIF,Anfield Universal Fixed Income ETF,393815,18798521,145270,18783,164053,0.87%
AX003,ABC Soverign Wealth Fund,AFK,Africa Index ETF Vaneck,355109,2869124,468101,26619,494720,17.24%
AX003,ABC Soverign Wealth Fund,AFTY,CSOP FTSE China A50 ETF,205065,26030948,495273,72465,567738,2.18%
AX003,ABC Soverign Wealth Fund,AGE,Agex Therapeutics Inc,457705,11015510,741412,6314,747726,6.79%
AX003,ABC Soverign Wealth Fund,AGG,US Aggregate Bond Ishares Core ETF,377992,3188350,278003,-3234,274769,8.62%
AX003,ABC Soverign Wealth Fund,AGGE,IQ Enhanced Core Bond U.S. ETF,276307,4860567,898018,23583,921601,18.96%
AX003,ABC Soverign Wealth Fund,AGGP,IQ Enhanced Core Plus Bond U.S.,158489,26566289,627269,30176,657445,2.47%
AX003,ABC Soverign Wealth Fund,AGGY,Wisdomtree Yield Enhcd US Agg Bond Fund,242824,8411862,166713,-7154,159559,1.90%
AX003,ABC Soverign Wealth Fund,AGQ,Ultra Silver Proshares,434243,5728329,747090,74373,821463,14.34%
AX003,ABC Soverign Wealth Fund,AGT,Argentina Ishares MSCI ETF,170417,24700862,731587,-1231,730356,2.96%
AX003,ABC Soverign Wealth Fund,AGZ,Agency Bond Ishares ETF,333619,28719687,147826,86170,233996,0.81%
AX003,ABC Soverign Wealth Fund,AIEQ,Ai Powered Equity ETF,181760,10279456,287422,59161,346583,3.37%
AX003,ABC Soverign Wealth Fund,AIIQ,Ai Powered International Equity ETF,105700,24208399,724513,75540,800053,3.30%
AX003,ABC Soverign Wealth Fund,AINC,Ashford Inc,387397,26095820,793917,80487,874404,3.35%
WS202,XYZ Insurance Fund,AIRI,Air Industries Group Inc,399968,26322951,840229,62835,903064,3.43%
WS202,XYZ Insurance Fund,AKG,Asanko Gold Inc,489328,19420844,478011,-5752,472259,2.43%
WS202,XYZ Insurance Fund,ALFA,Alphaclone Alternative Alpha ETF,258172,27188616,269554,86898,356452,1.31%
WS202,XYZ Insurance Fund,ALO,Alio Gold Corp,269159,10642837,677390,23880,701270,6.59%
WS202,XYZ Insurance Fund,ALTS,Mstar Alternative Solutions Proshares,233184,17841401,132107,74578,206685,1.16%
WS202,XYZ Insurance Fund,AMBO,Ambow Education Holding Ltd,145354,22314607,395840,79490,475330,2.13%
WS202,XYZ Insurance Fund,AMJ,Alerian MLP Index ETN JP Morgan,316509,29935052,262365,53221,315586,1.05%
WS202,XYZ Insurance Fund,AMJL,X-Links Mthy Pay 2X Leveraged Alerian,150244,3610070,671277,62354,733631,20.32%
WS202,XYZ Insurance Fund,AMLP,Alps Alerian MLP ETF,153286,1270470,129109,36726,165835,13.05%
