Fund Code,Fund Name,Asset Code,Asset Name,IssuerId,Shares Outstanding,SOD Position,Transactions,EOD Position,EOD Percentage of Holdings
AX003,ABC Soverign Wealth Fund,AAAU,Perth Mint Physical Gold ETF,191176,21150900,540692,53166,593858,2.81%
AX003,ABC Soverign Wealth Fund,AADR,Advisorshares Dorsey Wright ADR,190299,13657329,462610,-4931,457679,3.35%
AX003,ABC Soverign Wealth Fund,AAMC,Altisource Asset,259939,6379610,589683,20552,610235,9.57%
AX003,ABC Soverign Wealth Fund,AAU,Almaden Minerals,417842,15472303,501465,46395,547860,3.54%
AX003,ABC Soverign Wealth Fund,ACES,Alps Clean Energy ETF,325984,14882213,100714,997,101711,0.68%
AX003,ABC Soverign Wealth Fund,ACIM,ACWI IMI MSCI ETF SPDR,379181,28144402,360834,12736,373570,1.33%
AX003,ABC Soverign Wealth Fund,ACIO,Aptus Collared Income Opportunity ETF,192058,29120162,319702,62317,382019,1.31%
AX003,ABC Soverign Wealth Fund,ACSG,Xtrackers MSCI ACWI Ex USA ESG Leaders,300197,9101072,559036,-7900,551136,6.06%
AX003,ABC Soverign Wealth Fund,ACSI,American Customer Satisfaction Core,152153,20704995,875635,84910,960545,4.64%
AX003,ABC Soverign Wealth Fund,ACU,Acme United Corp,205776,13071018,36633,62690,99323,0.76%
AX003,ABC Soverign Wealth Fund,ACWF,Global Multifactor Ishares Edge MSCI ETF,449423,23333380,301566,41890,343456,1.47%
AX003,ABC Soverign Wealth Fund,ACWV,Global Min Vol Ishares Edge MSCI ETF,435537,20610747,244433,71380,315813,1.53%
AX003,ABC Soverign Wealth Fund,ACY,Aerocentury Corp,320237,18665084,566012,68669,634681,3.40%
AX003,ABC Soverign Wealth Fund,AE,Adams Resources & Energy,317647,16875502,775323,82497,857820,5.08%
AX003,ABC Soverign Wealth Fund,AEF,Aberdeen EM Equity Income Fund Inc,179710,24315663,884760,26328,911088,3.75%
AX003,ABC Soverign Wealth Fund,AFIF,Anfield Universal Fixed Income ETF,393815,18798521,114084,-6292,107792,0.57%
AX003,ABC Soverign Wealth Fund,AFK,Africa Index ETF Vaneck,355109,2869124,233085,86348,319433,11.13%
AX003,ABC Soverign Wealth Fund,AFTY,CSOP FTSE China A50 ETF,205065,26030948,556527,73848,630375,2.42%
AX003,ABC Soverign Wealth Fund,AGE,Agex Therapeutics Inc,457705,11015510,159812,61926,221738,2.01%
AX003,ABC Soverign Wealth Fund,AGG,US Aggregate Bond Ishares Core ETF,377992,3188350,68423,11339,79762,2.50%
AX003,ABC Soverign Wealth Fund,AGGE,IQ Enhanced Core Bond U.S. ETF,276307,4860567,499580,13583,513163,10.56%
AX003,ABC Soverign Wealth Fund,AGGP,IQ Enhanced Core Plus Bond U.S.,158489,26566289,372838,72488,445326,1.68%
AX003,ABC Soverign Wealth Fund,AGGY,Wisdomtree Yield Enhcd US Agg Bond Fund,242824,8411862,308610,59541,368151,4.38%
AX003,ABC Soverign Wealth Fund,AGQ,Ultra Silver Proshares,434243,5728329,285787,1201,286988,5.01%
AX003,ABC Soverign Wealth Fund,AGT,Argentina Ishares MSCI ETF,170417,24700862,737367,-6758,730609,2.96%
AX003,ABC Soverign Wealth Fund,AGZ,Agency Bond Ishares ETF,333619,28719687,392741,20923,413664,1.44%
AX003,ABC Soverign Wealth Fund,AIEQ,Ai Powered Equity ETF,181760,10279456,351213,71121,422334,4.11%
AX003,ABC Soverign Wealth Fund,AIIQ,Ai Powered International Equity ETF,105700,24208399,678149,76634,754783,3.12%
AX003,ABC Soverign Wealth Fund,AINC,Ashford Inc,387397,26095820,326478,23791,350269,1.34%
WS202,XYZ Insurance Fund,AIRI,Air Industries Group Inc,399968,26322951,668106,20816,688922,2.62%
WS202,XYZ Insurance Fund,AKG,Asanko Gold Inc,489328,19420844,614328,22788,637116,3.28%
WS202,XYZ Insurance Fund,ALFA,Alphaclone Alternative Alpha ETF,258172,27188616,414231,18414,432645,1.59%
WS202,XYZ Insurance Fund,ALO,Alio Gold Corp,269159,10642837,801872,21539,823411,7.74%
