Fund Code,Fund Name,Asset Code,Asset Name,IssuerId,Shares Outstanding,SOD Position,Transactions,EOD Position,EOD Percentage of Holdings
AX003,ABC Soverign Wealth Fund,AAAU,Perth Mint Physical Gold ETF,191176,21150900,336847,-3037,333810,1.58%
AX003,ABC Soverign Wealth Fund,AADR,Advisorshares Dorsey Wright ADR,190299,13657329,780617,78222,858839,6.29%
AX003,ABC Soverign Wealth Fund,AAMC,Altisource Asset,259939,6379610,273266,85593,358859,5.63%
AX003,ABC Soverign Wealth Fund,AAU,Almaden Minerals,417842,15472303,835745,52784,888529,5.74%
AX003,ABC Soverign Wealth Fund,ACES,Alps Clean Energy ETF,325984,14882213,629007,76564,705571,4.74%
AX003,ABC Soverign Wealth Fund,ACIM,ACWI IMI MSCI ETF SPDR,379181,28144402,455645,31959,487604,1.73%
AX003,ABC Soverign Wealth Fund,ACIO,Aptus Collared Income Opportunity ETF,192058,29120162,266080,7072,273152,0.94%
AX003,ABC Soverign Wealth Fund,ACSG,Xtrackers MSCI ACWI Ex USA ESG Leaders,300197,9101072,697996,16759,714755,7.85%
AX003,ABC Soverign Wealth Fund,ACSI,American Customer Satisfaction Core,152153,20704995,870807,559,871366,4.21%
AX003,ABC Soverign Wealth Fund,ACU,Acme United Corp,205776,13071018,441638,44164,485802,3.72%
AX003,ABC Soverign Wealth Fund,ACWF,Global Multifactor Ishares Edge MSCI ETF,449423,23333380,698108,85587,783695,3.36%
AX003,ABC Soverign Wealth Fund,ACWV,Global Min Vol Ishares Edge MSCI ETF,435537,20610747,297745,57885,355630,1.73%
AX003,ABC Soverign Wealth Fund,ACY,Aerocentury Corp,320237,18665084,62555,60258,122813,0.66%
AX003,ABC Soverign Wealth Fund,AE,Adams Resources & Energy,317647,16875502,505468,-1193,504275,2.99%
AX003,ABC Soverign Wealth Fund,AEF,Aberdeen EM Equity Income Fund Inc,179710,24315663,538962,-8311,530651,2.18%
AX003,ABC Soverign Wealth Fund,AFIF,Anfield Universal Fixed Income ETF,393815,18798521,469165,6473,475638,2.53%
AX003,ABC Soverign Wealth Fund,AFK,Africa Index ETF Vaneck,355109,2869124,563995,53544,617539,21.52%
AX003,ABC Soverign Wealth Fund,AFTY,CSOP FTSE China A50 ETF,205065,26030948,896700,-5146,891554,3.42%
AX003,ABC Soverign Wealth Fund,AGE,Agex Therapeutics Inc,457705,11015510,819779,-3508,816271,7.41%
AX003,ABC Soverign Wealth Fund,AGG,US Aggregate Bond Ishares Core ETF,377992,3188350,355187,8826,364013,11.42%
AX003,ABC Soverign Wealth Fund,AGGE,IQ Enhanced Core Bond U.S. ETF,276307,4860567,882455,53387,935842,19.25%
AX003,ABC Soverign Wealth Fund,AGGP,IQ Enhanced Core Plus Bond U.S.,158489,26566289,549472,17616,567088,2.13%
AX003,ABC Soverign Wealth Fund,AGGY,Wisdomtree Yield Enhcd US Agg Bond Fund,242824,8411862,321908,50914,372822,4.43%
AX003,ABC Soverign Wealth Fund,AGQ,Ultra Silver Proshares,434243,5728329,120414,5954,126368,2.21%
AX003,ABC Soverign Wealth Fund,AGT,Argentina Ishares MSCI ETF,170417,24700862,804375,1454,805829,3.26%
AX003,ABC Soverign Wealth Fund,AGZ,Agency Bond Ishares ETF,333619,28719687,302933,8561,311494,1.08%
AX003,ABC Soverign Wealth Fund,AIEQ,Ai Powered Equity ETF,181760,10279456,242658,34919,277577,2.70%
AX003,ABC Soverign Wealth Fund,AIIQ,Ai Powered International Equity ETF,105700,24208399,97689,34079,131768,0.54%
AX003,ABC Soverign Wealth Fund,AINC,Ashford Inc,387397,26095820,343993,37447,381440,1.46%
WS202,XYZ Insurance Fund,AIRI,Air Industries Group Inc,399968,26322951,138560,53269,191829,0.73%
WS202,XYZ Insurance Fund,AKG,Asanko Gold Inc,489328,19420844,134055,34434,168489,0.87%
WS202,XYZ Insurance Fund,ALFA,Alphaclone Alternative Alpha ETF,258172,27188616,268297,71081,339378,1.25%
WS202,XYZ Insurance Fund,ALO,Alio Gold Corp,269159,10642837,826837,-89,826748,7.77%
WS202,XYZ Insurance Fund,ALTS,Mstar Alternative Solutions Proshares,233184,17841401,850057,77063,927120,5.20%
WS202,XYZ Insurance Fund,AMBO,Ambow Education Holding Ltd,145354,22314607,306790,81594,388384,1.74%
WS202,XYZ Insurance Fund,AMJ,Alerian MLP Index ETN JP Morgan,316509,29935052,254278,74981,329259,1.10%
WS202,XYZ Insurance Fund,AMJL,X-Links Mthy Pay 2X Leveraged Alerian,150244,3610070,344004,42439,386443,10.70%
WS202,XYZ Insurance Fund,AMLP,Alps Alerian MLP ETF,153286,1270470,243317,46120,289437,22.78%
WS202,XYZ Insurance Fund,AMOM,Qraft Ai-Enhanced U.S. Large Cap,430953,569073,128516,81675,210191,36.94%
WS202,XYZ Insurance Fund,AMPE,Ampio Pharmaceuticals,450084,1705883,637541,47756,685297,40.17%
WS202,XYZ Insurance Fund,AMS,American Shared Hospital Services,417056,24131521,748292,38679,786971,3.26%
WS202,XYZ Insurance Fund,AMU,Etracs Alerian MLP Index ETN,213001,4685241,450414,53395,503809,10.75%
WS202,XYZ Insurance Fund,AMUB,Etracs Alerian MLP ETN Series B,462746,7521273,305181,35371,340552,4.53%
WS202,XYZ Insurance Fund,AMZA,Infracap MLP ETF,446334,12143849,748359,68230,816589,6.72%
