Fund Code,Fund Name,Asset Code,Asset Name,IssuerId,Shares Outstanding,SOD Position,Transactions,EOD Position,EOD Percentage of Holdings
AX003,ABC Soverign Wealth Fund,AAAU,Perth Mint Physical Gold ETF,191176,21150900,208864,-5140,203724,0.96%
AX003,ABC Soverign Wealth Fund,AADR,Advisorshares Dorsey Wright ADR,190299,13657329,479753,39260,519013,3.80%
AX003,ABC Soverign Wealth Fund,AAMC,Altisource Asset,259939,6379610,340893,17628,358521,5.62%
AX003,ABC Soverign Wealth Fund,AAU,Almaden Minerals,417842,15472303,100013,52325,152338,0.98%
AX003,ABC Soverign Wealth Fund,ACES,Alps Clean Energy ETF,325984,14882213,867822,-4998,862824,5.80%
AX003,ABC Soverign Wealth Fund,ACIM,ACWI IMI MSCI ETF SPDR,379181,28144402,708438,45217,753655,2.68%
AX003,ABC Soverign Wealth Fund,ACIO,Aptus Collared Income Opportunity ETF,192058,29120162,716605,87520,804125,2.76%
AX003,ABC Soverign Wealth Fund,ACSG,Xtrackers MSCI ACWI Ex USA ESG Leaders,300197,9101072,580102,62787,642889,7.06%
AX003,ABC Soverign Wealth Fund,ACSI,American Customer Satisfaction Core,152153,20704995,714766,63709,778475,3.76%
AX003,ABC Soverign Wealth Fund,ACU,Acme United Corp,205776,13071018,765306,1462,766768,5.87%
AX003,ABC Soverign Wealth Fund,ACWF,Global Multifactor Ishares Edge MSCI ETF,449423,23333380,611190,87092,698282,2.99%
AX003,ABC Soverign Wealth Fund,ACWV,Global Min Vol Ishares Edge MSCI ETF,435537,20610747,205955,36496,242451,1.18%
AX003,ABC Soverign Wealth Fund,ACY,Aerocentury Corp,320237,18665084,269013,66785,335798,1.80%
AX003,ABC Soverign Wealth Fund,AE,Adams Resources & Energy,317647,16875502,400921,66308,467229,2.77%
AX003,ABC Soverign Wealth Fund,AEF,Aberdeen EM Equity Income Fund Inc,179710,24315663,464776,43030,507806,2.09%
AX003,ABC Soverign Wealth Fund,AFIF,Anfield Universal Fixed Income ETF,393815,18798521,176268,80770,257038,1.37%
AX003,ABC Soverign Wealth Fund,AFK,Africa Index ETF Vaneck,355109,2869124,509879,24697,534576,18.63%
AX003,ABC Soverign Wealth Fund,AFTY,CSOP FTSE China A50 ETF,205065,26030948,388294,79297,467591,1.80%
AX003,ABC Soverign Wealth Fund,AGE,Agex Therapeutics Inc,457705,11015510,644203,21503,665706,6.04%
AX003,ABC Soverign Wealth Fund,AGG,US Aggregate Bond Ishares Core ETF,377992,3188350,471543,38583,510126,16.00%
AX003,ABC Soverign Wealth Fund,AGGE,IQ Enhanced Core Bond U.S. ETF,276307,4860567,58665,-7791,50874,1.05%
AX003,ABC Soverign Wealth Fund,AGGP,IQ Enhanced Core Plus Bond U.S.,158489,26566289,647028,1272,648300,2.44%
AX003,ABC Soverign Wealth Fund,AGGY,Wisdomtree Yield Enhcd US Agg Bond Fund,242824,8411862,388181,-6618,381563,4.54%
AX003,ABC Soverign Wealth Fund,AGQ,Ultra Silver Proshares,434243,5728329,363677,14857,378534,6.61%
AX003,ABC Soverign Wealth Fund,AGT,Argentina Ishares MSCI ETF,170417,24700862,762437,-8973,753464,3.05%
AX003,ABC Soverign Wealth Fund,AGZ,Agency Bond Ishares ETF,333619,28719687,871089,65871,936960,3.26%
AX003,ABC Soverign Wealth Fund,AIEQ,Ai Powered Equity ETF,181760,10279456,842564,59000,901564,8.77%
AX003,ABC Soverign Wealth Fund,AIIQ,Ai Powered International Equity ETF,105700,24208399,612861,60518,673379,2.78%
AX003,ABC Soverign Wealth Fund,AINC,Ashford Inc,387397,26095820,639053,80534,719587,2.76%
WS202,XYZ Insurance Fund,AIRI,Air Industries Group Inc,399968,26322951,748116,70011,818127,3.11%
WS202,XYZ Insurance Fund,AKG,Asanko Gold Inc,489328,19420844,500209,54527,554736,2.86%
WS202,XYZ Insurance Fund,ALFA,Alphaclone Alternative Alpha ETF,258172,27188616,632069,-655,631414,2.32%
WS202,XYZ Insurance Fund,ALO,Alio Gold Corp,269159,10642837,722677,35584,758261,7.12%
WS202,XYZ Insurance Fund,ALTS,Mstar Alternative Solutions Proshares,233184,17841401,24156,24190,48346,0.27%
WS202,XYZ Insurance Fund,AMBO,Ambow Education Holding Ltd,145354,22314607,875568,22827,898395,4.03%
WS202,XYZ Insurance Fund,AMJ,Alerian MLP Index ETN JP Morgan,316509,29935052,451408,52839,504247,1.68%
WS202,XYZ Insurance Fund,AMJL,X-Links Mthy Pay 2X Leveraged Alerian,150244,3610070,747470,44115,791585,21.93%
